0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
2109,0.05735,Jalan Sultan Sulaiman/Bulatan Merdeka,+,0.75,TR,49.88,49.88,60.0,1.58246,2020-08-03T00:59:47Z,Jalan Maharajalela,d07638db-c6b7-479d-b61b-0373500621cb,F05-02107,F05-02107_2020-08-03T00:59:47Z,
2108,0.70313,Jalan Hang Tuah/Jalan Lapangan Terbang/Jalan Dewan Bahasa,+,0.75,TR,46.61,46.61,64.8,3.12564,2020-08-03T00:59:47Z,Jalan Maharajalela,d07638db-c6b7-479d-b61b-0373500621cb,F05-02107,F05-02107_2020-08-03T00:59:47Z,
2097,0.6485,Jalan Yaacob Latif/Jalan Cheras,-,0.7,TR,66.0,66.0,79.3,2.23623,2020-08-03T00:59:47Z,Jalan Loke Yew,a2b84c1d-00fd-4943-a0b4-bdf2d5cbdb85,F05+02096,F05+02096_2020-08-03T00:59:47Z,
13982,0.70511,E9/Lebuhraya Sungai Besi/Sungai Besi Expressway/Lebuhraya Besraya,-,0.83,TR,59.08,59.08,79.9,3.47366,2020-08-03T00:59:47Z,Jalan Loke Yew,a2b84c1d-00fd-4943-a0b4-bdf2d5cbdb85,F05+02096,F05+02096_2020-08-03T00:59:47Z,
2098,1.81279,Jalan Sungai Besi,-,0.79,TR,45.05,45.05,75.0,5.18567,2020-08-03T00:59:47Z,Jalan Loke Yew,a2b84c1d-00fd-4943-a0b4-bdf2d5cbdb85,F05+02096,F05+02096_2020-08-03T00:59:47Z,
2099,0.8488,Jalan Hang Tuah/Jalan Dewan Bahasa/Jalan Lapangan Terbang,-,0.72,TR,31.3,31.3,67.5,7.83578,2020-08-03T00:59:47Z,Jalan Loke Yew,a2b84c1d-00fd-4943-a0b4-bdf2d5cbdb85,F05+02096,F05+02096_2020-08-03T00:59:47Z,
2108,0.30378,Jalan Hang Tuah/Jalan Lapangan Terbang/Jalan Dewan Bahasa,-,0.8,TR,42.52,42.52,70.0,4.99399,2020-08-03T00:59:47Z,Jalan Maharajalela,73875d53-b241-4c02-b8eb-26b9a807bf3a,F05+02107,F05+02107_2020-08-03T00:59:47Z,
2109,0.51125,Jalan Sultan Sulaiman/Bulatan Merdeka,-,0.85,TR,39.81,39.81,57.0,3.31945,2020-08-03T00:59:47Z,Jalan Maharajalela,73875d53-b241-4c02-b8eb-26b9a807bf3a,F05+02107,F05+02107_2020-08-03T00:59:47Z,
2112,0.02135,Jalan Genting Kelang,+,0.7,TR,18.0,18.0,21.0,0.0,2020-08-03T00:59:47Z,Jalan Malinja,e7f359fb-9afb-4d68-ab6a-1582a04ac3ec,F05-02110,F05-02110_2020-08-03T00:59:47Z,
2111,0.7221,Jalan Tumbuhan,+,0.7,TR,22.0,22.0,25.2,0.10582,2020-08-03T00:59:47Z,Jalan Malinja,e7f359fb-9afb-4d68-ab6a-1582a04ac3ec,F05-02110,F05-02110_2020-08-03T00:59:47Z,
2106,0.12229,E23/Lingkaran Damansara/Lebuhraya Skim Penyuraian Trafik KL-Barat,+,0.71,TR,34.71,34.71,42.4,1.47553,2020-08-03T00:59:47Z,Jalan Maarof,9628b2eb-60b4-4d58-8083-617037982b5c,F05-02100,F05-02100_2020-08-03T00:59:47Z,
2105,0.45552,Jalan Penaga,+,0.77,TR,27.64,27.64,40.7,3.29591,2020-08-03T00:59:47Z,Jalan Maarof,9628b2eb-60b4-4d58-8083-617037982b5c,F05-02100,F05-02100_2020-08-03T00:59:47Z,
2104,1.21603,Jalan Ara (North),+,0.79,TR,46.19,46.19,53.3,1.77772,2020-08-03T00:59:47Z,Jalan Maarof,9628b2eb-60b4-4d58-8083-617037982b5c,F05-02100,F05-02100_2020-08-03T00:59:47Z,
2103,0.70774,Jalan Ara (South),+,0.85,TR,29.37,29.37,"{'SS': [{'JF': 8.31761, 'LE': 0.35212, 'SP': 21.38, 'FF': 50.23, 'SU': 21.38}, {'JF': 1.11053, 'LE': 0.35561, 'SP': 46.62, 'FF': 50.86, 'SU': 46.62}]}",50.5,3.14159,2020-08-03T00:59:47Z,Jalan Maarof,9628b2eb-60b4-4d58-8083-617037982b5c,F05-02100,F05-02100_2020-08-03T00:59:47Z
2102,0.1753,Jalan Tempinis,+,0.81,TR,50.27,50.27,47.8,0.0,2020-08-03T00:59:47Z,Jalan Maarof,9628b2eb-60b4-4d58-8083-617037982b5c,F05-02100,F05-02100_2020-08-03T00:59:47Z,
2101,0.53706,Jalan Bangsar,+,0.84,TR,40.1,40.1,"{'SS': [{'JF': 0.0, 'LE': 0.2504, 'SP': 55.86, 'FF': 51.18, 'SU': 55.86}, {'JF': 4.87786, 'LE': 0.28666, 'SP': 32.17, 'FF': 49.04, 'SU': 32.17}]}",50.0,2.63948,2020-08-03T00:59:47Z,Jalan Maarof,9628b2eb-60b4-4d58-8083-617037982b5c,F05-02100,F05-02100_2020-08-03T00:59:47Z
2111,0.01352,Jalan Tumbuhan,-,0.7,TR,26.0,26.0,20.9,0.0,2020-08-03T00:59:47Z,Jalan Malinja,a215d850-23b7-4a49-830e-8258f5566588,F05+02110,F05+02110_2020-08-03T00:59:47Z,
2112,0.72993,Jalan Genting Kelang,-,0.7,TR,23.0,23.0,27.7,0.81829,2020-08-03T00:59:47Z,Jalan Malinja,a215d850-23b7-4a49-830e-8258f5566588,F05+02110,F05+02110_2020-08-03T00:59:47Z,
2101,0.37935,Jalan Bangsar,-,0.76,TR,31.69,31.69,41.0,2.05358,2020-08-03T00:59:47Z,Jalan Maarof,ab7fbcdb-4c83-4ba2-b905-60f643d6a5e5,F05+02100,F05+02100_2020-08-03T00:59:47Z,
2102,0.20542,Jalan Tempinis,-,0.75,TR,42.04,42.04,51.5,2.44821,2020-08-03T00:59:47Z,Jalan Maarof,ab7fbcdb-4c83-4ba2-b905-60f643d6a5e5,F05+02100,F05+02100_2020-08-03T00:59:47Z,
2103,0.17727,Jalan Ara (South),-,0.75,TR,23.38,23.38,32.9,2.64188,2020-08-03T00:59:47Z,Jalan Maarof,ab7fbcdb-4c83-4ba2-b905-60f643d6a5e5,F05+02100,F05+02100_2020-08-03T00:59:47Z,
2104,0.70774,Jalan Ara (North),-,0.72,TR,31.73,31.73,43.5,2.68779,2020-08-03T00:59:47Z,Jalan Maarof,ab7fbcdb-4c83-4ba2-b905-60f643d6a5e5,F05+02100,F05+02100_2020-08-03T00:59:47Z,
2105,1.21603,Jalan Penaga,-,0.77,TR,49.71,49.71,47.7,0.0,2020-08-03T00:59:47Z,Jalan Maarof,ab7fbcdb-4c83-4ba2-b905-60f643d6a5e5,F05+02100,F05+02100_2020-08-03T00:59:47Z,
2106,0.57731,E23/Lingkaran Damansara/Lebuhraya Skim Penyuraian Trafik KL-Barat,-,0.9,TR,24.92,24.92,51.6,7.17674,2020-08-03T00:59:47Z,Jalan Maarof,ab7fbcdb-4c83-4ba2-b905-60f643d6a5e5,F05+02100,F05+02100_2020-08-03T00:59:47Z,
2115,0.05075,Jalan Medan Setia/Jalan Setiabudi,+,0.7,TR,29.0,29.0,28.8,0.0,2020-08-03T00:59:47Z,Jalan Medan,56976385-b33b-4525-9790-6e47f051312b,F05-02113,F05-02113_2020-08-03T00:59:47Z,
2114,0.25627,Jalan Beringin,+,0.7,TR,25.0,25.0,20.8,0.0,2020-08-03T00:59:47Z,Jalan Medan,56976385-b33b-4525-9790-6e47f051312b,F05-02113,F05-02113_2020-08-03T00:59:47Z,
2117,0.05941,Jalan 1/70B/Jalan Medan,-,0.72,TR,25.97,25.97,31.0,0.87413,2020-08-03T00:59:47Z,Jalan Medan Setia,e9f3f7a6-dce8-463d-a103-3da6cdab0ca6,F05+02116,F05+02116_2020-08-03T00:59:47Z,
2118,0.22106,Jalan 1/70B,-,0.75,TR,25.08,25.08,31.3,1.37332,2020-08-03T00:59:47Z,Jalan Medan Setia,e9f3f7a6-dce8-463d-a103-3da6cdab0ca6,F05+02116,F05+02116_2020-08-03T00:59:47Z,
2114,0.09971,Jalan Beringin,-,0.7,TR,30.0,30.0,25.2,0.0,2020-08-03T00:59:47Z,Jalan Medan,8c1aa6d8-9468-4c95-818c-a37a200c821d,F05+02113,F05+02113_2020-08-03T00:59:47Z,
2115,0.20577,Jalan Medan Setia/Jalan Setiabudi,-,0.7,TR,23.0,23.0,20.3,0.0,2020-08-03T00:59:47Z,Jalan Medan,8c1aa6d8-9468-4c95-818c-a37a200c821d,F05+02113,F05+02113_2020-08-03T00:59:47Z,
2125,0.04756,Jalan Merah Silu,+,0.7,TR,25.0,25.0,28.0,0.0,2020-08-03T00:59:47Z,Jalan Merah Caga,b88a1c47-aebc-4ad4-8944-b0e8818f0a4b,F05-02119,F05-02119_2020-08-03T00:59:47Z,
